범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,59447,2258,2565,1603,1755,3169,1816,2382,2136,1505,1349,2404,2354,1871,2787,2058,2318,2370,1385,3108,1790,3192,2766,3886,4190,2430,21946,918,835,780,529,3337,1647,1728,1259,2288,1714,1445,502,1031,1369,1968,596,14627,1835,2380,1296,1073,2131,2085,3144,683,9751,506,252,1291,1829,843,1858,2398,645,104,25,10368,1254,2623,1120,2972,2399,11464,2209,2248,3458,2152,1397,5782,1378,920,1923,658,903,5686,6785,4558,3799,2180,4816,5525,1666,2532,4228,2266,3690,4983,1639,2602,1751,1311,2310,4416,1162,1113,1793,2826,1241,3785,1346,1287,1785,1072,1094,749,1408,1431,1313,572,492,2916,1875,1273,1274,734,1024,805,590,695,17742,13259
살인,157,2,6,1,1,8,12,11,8,6,6,5,5,3,4,5,8,4,8,13,2,7,6,12,9,5,71,4,5,4,3,7,2,3,6,9,6,4,1,2,1,12,2,36,6,6,7,0,4,5,6,2,51,6,0,5,11,5,16,4,3,1,0,19,2,7,1,6,3,30,2,10,7,4,7,23,5,2,8,3,5,15,16,12,9,7,16,21,3,11,12,12,11,18,4,9,5,5,5,17,4,2,6,8,9,7,4,1,9,4,4,0,7,7,5,1,3,8,12,10,5,4,3,8,6,6,95,105
강도,345,11,14,7,5,16,13,14,16,21,11,8,24,4,22,12,9,12,9,11,10,25,15,36,10,10,132,7,6,3,5,21,7,6,6,18,18,3,1,1,4,20,6,68,7,21,11,4,9,5,9,2,112,7,2,16,26,4,17,28,12,0,0,53,15,9,3,16,10,82,30,11,21,10,10,32,6,2,18,3,3,27,32,28,30,12,32,37,12,5,19,7,17,25,12,13,13,8,20,33,9,14,12,22,5,7,5,5,15,11,4,0,4,8,5,3,4,17,12,10,9,13,7,5,6,5,110,85
성폭력,8594,307,377,269,187,328,210,205,220,220,208,294,222,867,423,241,308,426,250,352,437,471,448,761,383,180,2348,91,61,71,65,326,169,334,202,239,176,144,28,143,117,134,48,1587,278,216,162,121,248,188,312,62,1681,98,25,220,297,204,244,335,226,25,7,1050,150,224,91,315,270,805,170,144,247,107,137,534,109,77,196,68,84,530,722,579,328,467,372,354,163,175,384,188,396,370,154,228,223,133,183,369,107,134,180,230,169,283,117,123,182,139,78,68,163,142,110,32,60,368,202,156,103,91,96,149,73,59,1964,1368
폭행,39108,1482,1474,1221,1020,1645,1503,1613,1399,1509,1027,1787,1607,1199,1368,1580,1755,1715,1227,2016,1134,2273,1519,2444,2007,1584,8577,363,250,367,294,1352,630,488,619,875,778,558,119,558,508,624,194,5809,437,729,882,520,735,684,1506,316,9291,527,291,1292,1638,783,1780,1859,930,145,46,6014,802,1629,612,1704,1267,2710,796,435,859,340,280,3998,824,485,1566,352,771,3101,4172,2915,1832,1778,2285,2175,1241,938,2586,695,1971,2370,893,2129,818,956,707,1563,909,705,1257,1664,404,1396,848,837,1633,502,313,281,525,736,403,240,308,1600,1547,1121,623,684,907,286,393,75,10178,5618
