범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,39288,1488,1858,1133,998,1767,1453,1527,1162,1116,785,1414,1275,1061,2023,1384,1729,1724,1020,2287,1153,2171,1866,3022,2356,1516,14413,939,720,592,327,2357,1050,824,792,1347,1042,943,484,799,791,998,408,8203,1140,1311,669,540,1161,977,1720,685,9484,626,138,1376,1527,841,1638,2421,755,133,29,4860,602,1161,608,1429,1060,5557,1030,1010,1755,1111,651,3349,746,549,1036,449,569,3721,5398,3130,2227,1669,3340,3386,1028,1704,3029,1726,2269,2133,996,1725,982,1027,1368,3267,810,881,1068,2064,838,2409,745,661,1282,661,771,409,983,1166,797,366,314,2204,1714,1115,985,782,833,599,314,464,14421,8523
살인,152,7,2,1,2,7,5,4,8,8,1,5,8,5,6,2,11,8,5,20,2,10,5,12,5,3,54,1,3,0,5,1,3,3,6,3,4,4,2,5,5,6,3,33,1,11,3,4,3,2,7,2,44,2,1,9,6,2,9,11,3,1,0,22,0,4,4,7,7,15,6,0,5,3,1,11,1,3,5,2,0,13,16,17,16,6,22,22,2,14,14,6,13,11,4,9,5,5,6,8,9,3,3,9,5,11,4,3,8,2,2,0,3,9,5,1,3,12,9,9,5,2,4,1,3,5,106,73
강도,140,3,11,3,3,3,5,3,1,7,4,5,1,3,6,4,6,9,5,8,7,12,5,14,6,6,87,2,6,4,2,17,6,5,3,3,8,8,1,7,5,8,2,48,3,11,3,5,3,8,14,1,37,4,0,7,8,3,0,12,3,0,0,27,2,3,1,12,9,51,15,10,14,6,6,26,4,4,10,2,6,20,20,16,11,3,18,19,7,6,10,5,7,9,10,10,6,3,7,19,4,4,2,14,7,10,2,1,3,3,2,1,4,7,3,4,0,1,10,5,4,0,5,0,4,1,83,35
성폭력,9222,345,329,401,192,347,221,223,284,248,165,271,280,260,718,173,389,373,255,547,396,504,615,973,493,220,1976,69,42,72,59,373,115,149,90,251,141,121,60,111,121,149,53,1278,215,178,80,74,186,163,305,77,2136,151,24,317,338,159,457,486,173,21,10,867,93,248,82,262,182,1110,195,189,440,187,99,526,75,74,225,59,93,580,875,641,372,396,451,395,164,256,545,142,524,381,170,302,118,110,180,380,130,119,201,341,104,220,158,123,252,147,103,79,132,166,136,55,43,379,289,191,127,123,128,74,74,57,2427,1629
폭행,35419,1300,1311,1371,818,1093,1505,1560,1075,1461,778,1407,1256,876,1669,1317,1569,1868,1108,1992,1015,1883,1499,2364,1968,1356,10751,459,286,485,364,1922,818,600,767,1110,872,573,230,702,580,637,346,7004,792,1100,766,594,1154,729,1452,417,12098,679,267,1909,1945,765,2205,2780,1282,214,52,5144,625,1540,493,1295,1191,5836,1470,977,1816,964,609,3860,626,636,1688,374,536,2968,4819,3095,1725,1974,2610,2984,1015,1298,2772,838,3146,2097,1042,2200,1000,852,913,2155,1248,669,1192,2242,528,1679,776,745,1747,856,423,419,835,1073,523,320,249,1980,1587,1047,643,928,990,513,297,303,14454,6619
