범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,42338,1519,2205,1020,976,1870,1542,1659,1087,1228,791,1505,1566,1217,2215,1483,2053,1917,1132,2418,1333,2260,2289,2986,2413,1654,14560,705,609,724,353,2443,936,936,807,1307,1019,1031,478,887,803,1023,499,9290,1482,1265,689,726,1340,1099,2058,631,10150,848,190,1331,1754,1017,1688,2390,733,169,30,4950,603,1193,615,1444,1095,5864,1225,1178,1789,1026,646,3216,637,513,1042,407,617,3710,5199,3252,2211,1748,3437,3705,1065,2002,2974,1609,2404,2328,1171,1604,1098,933,1535,3340,928,879,1306,2188,1026,2207,796,658,1507,731,836,460,1087,1298,823,416,364,2346,1769,942,1281,829,833,471,393,448,15603,9511
살인,146,4,5,3,6,4,7,10,3,6,1,4,3,2,2,7,8,10,6,10,5,12,5,9,8,6,66,3,1,0,4,8,4,5,1,3,10,10,1,3,3,9,1,42,1,8,0,4,6,7,10,6,51,2,1,6,10,8,11,6,5,2,0,18,3,4,3,6,2,18,5,3,4,6,0,19,8,3,3,1,4,15,16,4,19,6,14,20,1,5,10,4,11,17,6,5,11,7,5,14,3,5,2,8,3,2,4,4,14,3,5,5,3,7,4,2,1,9,3,5,4,2,1,1,3,7,110,77
강도,149,8,6,6,9,6,12,4,3,2,6,3,1,5,2,5,4,4,12,5,1,11,5,6,9,14,83,4,4,10,5,16,6,2,3,5,4,12,0,3,4,4,1,35,4,5,7,2,3,4,8,2,60,6,0,5,10,7,12,15,5,0,0,29,4,4,1,16,4,25,6,8,8,2,1,27,7,2,14,2,2,12,22,14,12,7,22,10,5,4,15,3,9,14,8,4,2,7,4,13,3,4,8,12,5,9,1,2,7,4,2,1,3,12,2,3,1,7,15,4,6,1,3,1,6,0,91,37
성폭력,9206,350,293,344,188,398,223,183,243,227,122,257,266,252,664,180,406,341,194,489,350,538,766,1257,428,247,2036,82,51,74,39,430,119,124,117,252,155,117,60,132,95,130,59,1291,207,206,81,89,183,157,276,92,2094,144,25,324,334,174,405,485,163,31,9,841,96,244,79,241,181,985,203,132,393,188,69,560,98,81,226,70,85,579,872,608,407,322,472,484,167,204,505,153,481,387,183,286,122,157,207,399,114,147,231,262,119,217,147,131,271,124,98,67,149,143,111,61,61,410,301,193,112,137,127,77,66,42,2596,1507
폭행,33921,1361,1225,1439,835,1119,1338,1490,990,1573,690,1464,1227,838,1408,1000,1458,1697,1085,1827,1103,1774,1758,2144,1749,1329,11218,476,293,510,379,1863,830,654,865,1194,815,604,224,779,617,785,330,7009,859,914,759,593,1330,752,1364,438,12596,615,282,2247,2142,955,2103,2843,1212,167,30,5331,583,1447,552,1430,1319,4840,999,735,1714,740,652,3161,606,528,1155,398,474,3020,4769,2841,1773,1884,2348,2839,1022,1367,2984,792,2881,1910,1003,2303,948,947,879,1669,1107,705,824,2412,629,1732,869,735,1471,691,411,425,902,1011,680,438,244,2078,1889,1012,915,889,976,458,287,222,14738,6910
