범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,46972,1949,2147,1542,1293,2646,1940,1687,1478,1227,866,1854,1668,1498,2541,1720,1953,1910,1117,2355,1234,2256,2197,3587,2552,1755,16808,911,769,772,559,3006,1118,1062,1037,1559,1148,1017,506,812,815,1162,555,9193,1159,1213,755,705,1441,1213,2257,450,10044,550,187,1168,1675,1059,1803,2603,849,120,30,6063,833,1421,765,1790,1254,6998,1478,1341,2113,1267,799,4235,877,701,1511,417,728,4483,5625,3963,2388,2008,3721,3769,1223,1949,3287,1700,2613,2580,1200,1755,1155,1010,1562,3288,1084,1120,1311,1819,1146,2380,895,839,1471,787,786,575,1319,1257,1114,451,249,2468,1500,1291,976,632,938,677,464,529,16001,9902
살인,152,6,3,4,4,6,5,8,4,7,3,5,6,6,4,5,10,9,6,13,8,6,5,5,10,4,75,6,1,7,5,7,3,6,6,5,9,4,2,2,1,9,2,29,0,3,7,3,3,3,8,2,48,2,1,9,12,6,5,5,8,0,0,17,3,2,1,6,5,25,3,7,4,5,6,22,5,1,8,3,5,19,29,9,10,10,7,21,2,11,24,5,11,16,5,13,9,3,5,16,3,6,7,10,6,10,5,1,10,3,8,2,3,5,2,1,3,15,15,5,4,1,6,5,4,3,112,100
강도,261,11,8,9,3,11,10,14,8,5,5,6,9,5,4,7,10,11,7,19,7,12,13,39,15,13,138,10,2,8,7,16,21,5,12,11,7,6,3,10,6,10,4,54,2,8,6,5,9,11,8,5,89,1,1,14,17,8,19,14,14,1,0,49,9,11,4,8,17,36,6,7,9,5,9,33,9,3,13,3,5,19,27,17,12,7,17,29,4,8,20,7,11,25,5,17,15,8,15,8,6,5,2,9,6,10,4,3,9,6,0,1,6,9,5,1,1,5,9,4,8,2,1,5,2,1,84,46
성폭력,8390,313,356,319,200,375,241,209,217,254,186,208,213,218,688,184,344,408,220,481,428,420,600,788,314,206,1711,65,55,64,70,352,108,93,108,199,103,98,38,91,87,119,61,1194,164,135,102,92,165,172,320,44,2133,116,29,299,368,208,415,450,210,31,7,861,99,208,78,264,212,794,156,146,273,155,64,521,86,67,221,57,90,605,819,673,298,385,422,354,166,183,539,146,475,423,154,259,104,89,153,374,106,139,154,281,105,189,131,124,287,120,113,65,113,114,111,38,43,356,249,158,130,123,148,77,63,49,2125,1421
폭행,40732,1459,1399,1469,1029,1458,1682,2053,1331,1890,939,1566,1574,1124,1745,1530,2069,2117,1349,2230,1110,2269,1533,2339,1892,1576,10218,442,318,398,334,1821,774,634,734,1084,829,550,190,632,527,622,329,7664,543,1158,1016,632,995,1106,1807,407,12243,727,310,1563,2126,1044,2258,2637,1326,196,56,4971,729,1394,547,1238,1063,5303,1475,925,1647,797,459,4150,881,551,1576,450,692,3512,4566,3224,1808,2297,3150,2829,1385,1236,3416,832,2784,2473,1281,2023,1031,936,915,1674,1155,901,1658,2098,507,1667,898,861,2093,780,398,522,874,905,634,347,290,2399,1813,1208,739,886,980,384,329,150,13397,6545
