범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,38378,1189,1641,1126,1016,1665,1444,1510,996,780,871,1402,1367,1074,1500,1528,1691,1759,999,2193,1355,2220,2027,2958,2431,1636,14243,697,459,597,375,2327,1017,866,1033,1335,1032,948,450,917,680,970,540,8702,1214,1224,747,679,1439,1008,1867,524,9002,667,138,1345,1360,863,1582,2128,756,133,30,4968,641,1221,615,1327,1164,5273,1032,1043,1637,923,638,3121,594,489,1002,442,594,3551,4876,3023,2196,1825,3213,3918,1093,1965,3009,2050,2179,2271,1070,1509,1086,1022,1793,2878,884,950,1154,2063,893,2448,916,716,1356,642,791,446,1022,1201,835,435,361,2589,1780,988,1341,775,618,593,373,430,15907,9346
살인,157,8,2,5,5,2,10,10,4,9,0,4,4,15,8,5,10,7,4,7,3,13,5,6,8,3,56,1,2,2,0,3,5,4,6,5,6,2,3,3,5,8,1,29,1,10,1,2,5,1,6,3,38,4,1,5,12,2,3,7,1,1,2,13,1,3,3,2,4,18,2,1,11,4,0,12,2,2,4,2,2,12,18,12,8,4,4,17,4,8,12,5,6,12,1,10,5,4,4,8,7,8,5,11,3,14,8,4,5,2,4,4,2,7,10,1,4,7,13,8,8,1,1,2,3,4,104,78
강도,143,7,5,6,3,4,6,5,3,4,2,4,4,2,4,3,7,5,7,6,1,3,8,15,13,16,38,0,1,0,0,9,2,4,4,0,0,2,3,4,2,6,1,35,3,10,6,4,5,0,6,1,47,5,0,4,7,5,10,10,5,1,0,27,7,5,3,7,5,14,3,4,4,2,1,14,1,5,5,2,1,16,9,15,9,5,9,17,4,6,16,9,10,11,5,7,0,2,5,14,4,1,8,13,1,4,0,3,8,8,3,1,0,16,0,0,1,6,6,4,7,1,3,1,3,1,69,33
성폭력,8106,251,263,303,162,339,218,252,200,195,118,217,235,222,557,170,381,321,163,456,295,529,560,1019,414,266,1922,62,36,62,39,390,130,116,104,246,136,111,51,119,106,146,68,1095,144,152,96,69,164,150,243,77,1908,126,30,261,290,188,433,404,123,34,19,767,84,206,76,206,195,890,170,137,350,152,81,564,81,82,242,74,85,573,939,638,384,357,462,439,157,214,517,156,449,390,153,305,103,144,175,397,160,130,158,314,118,229,150,137,237,155,99,79,138,116,123,54,49,331,345,152,139,136,109,92,62,41,2574,1474
폭행,28533,1064,933,1033,750,949,1070,1140,859,1130,655,1221,999,677,1157,943,1407,1321,900,1618,968,1603,1291,2134,1520,1191,10267,375,288,436,349,1752,703,636,799,931,724,474,254,759,515,861,411,6209,599,789,950,435,1157,659,1215,405,10769,609,272,1732,1708,849,1818,2475,1141,123,42,4394,464,1027,515,1135,1253,4767,993,758,1684,668,664,2835,520,505,1035,376,399,2795,4093,2253,1689,1509,2295,2713,944,1187,2802,954,2503,2120,898,2031,894,830,776,1363,697,620,698,2218,526,1415,745,592,1201,697,368,538,718,895,728,480,262,1811,1559,1081,833,734,647,414,261,202,13562,6675
