범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,55365,2202,2539,1593,1608,3012,1985,2125,1788,1441,1066,2193,1911,1797,2584,1891,2089,2311,1388,2973,1880,2881,2643,3854,3242,2368,20205,936,783,956,517,3322,1320,1349,1043,2350,1661,1245,529,1009,1093,1432,658,12779,1674,1754,1154,1132,2052,1712,2740,561,10694,510,199,1353,1652,1056,2124,2594,1039,140,25,8443,1103,2043,972,2582,1743,9504,2084,1779,2859,1625,1156,5449,1191,876,1964,597,821,5051,6512,3946,3411,2143,4702,5864,1235,2501,4159,2032,3289,3310,1521,2313,1392,1470,2212,3947,1052,1133,1790,2167,1298,2740,1194,945,1892,832,925,683,1176,1488,1395,506,570,2793,1791,1136,1207,655,1042,775,530,638,18805,11817
살인,164,6,3,5,4,4,6,13,5,6,4,10,3,2,8,4,7,8,2,14,5,10,8,12,11,4,61,3,2,5,2,9,4,4,3,4,8,4,1,2,1,6,3,41,2,5,5,4,10,5,9,1,52,3,2,4,10,4,16,9,2,0,2,18,3,5,1,5,4,25,4,6,2,7,6,23,4,4,4,6,5,21,14,10,11,8,20,20,2,8,20,5,17,27,2,7,8,6,5,12,6,6,10,8,7,8,3,2,12,5,2,2,3,9,3,1,1,12,15,7,8,5,3,1,7,6,123,76
강도,275,11,9,13,9,14,13,11,5,14,9,7,9,5,12,6,13,15,6,22,10,12,9,22,13,6,168,10,6,8,4,21,25,11,14,12,9,3,1,12,9,17,6,61,4,8,6,4,8,9,18,4,104,4,5,5,27,5,26,21,10,1,0,45,6,10,3,14,12,65,22,17,18,3,5,29,3,1,20,2,3,26,40,30,21,7,30,26,4,10,42,13,14,29,9,15,14,7,13,22,6,9,9,23,9,17,9,5,12,8,7,0,14,2,4,3,0,11,14,5,2,8,6,6,2,4,91,67
성폭력,9587,426,415,267,249,368,231,333,265,216,153,318,288,215,675,337,340,535,218,501,507,423,604,1098,373,210,1880,114,73,83,48,339,154,113,135,174,132,94,45,110,88,134,43,1431,360,161,90,128,211,172,273,36,1984,139,44,349,249,182,389,412,182,28,8,986,149,223,84,311,218,833,156,160,291,121,103,538,100,74,217,50,96,683,872,609,408,323,432,368,117,174,481,159,550,370,159,309,125,103,167,391,107,138,159,286,105,215,140,129,244,113,86,71,104,125,102,52,51,367,316,159,118,109,120,76,54,58,2026,1394
폭행,39696,1395,1415,1256,992,1581,1512,1623,1311,1719,975,1709,1645,1183,1704,1576,2076,1892,1154,2110,1150,2335,1441,2377,1909,1656,9562,355,327,395,313,1621,768,518,648,1056,777,571,153,676,520,605,257,7086,521,902,1050,527,880,904,1936,366,10637,556,251,1522,1863,937,2064,2129,1064,168,83,5689,717,1545,566,1594,1267,4382,1349,754,1375,454,450,4532,840,594,1819,467,812,3405,4583,3365,1730,1883,2783,2811,1259,1264,3476,736,2453,2034,1318,2044,927,994,814,1554,898,753,1120,1799,526,1587,891,883,1726,597,402,402,518,845,575,337,292,1828,1623,1153,651,713,966,299,276,118,12574,6267
