범죄별(3),서울,서울종로,서울중구,서울용산,서울성동,서울광진,서울동대문,서울중랑,서울성북,서울강북,서울도봉,서울노원,서울은평,서울서대문,서울마포,서울양천,서울강서,서울구로,서울금천,서울영등포,서울동작,서울관악,서울서초,서울강남,서울송파,서울강동,부산,부산중구,부산서구,부산동구,부산영도,부산부산진,부산동래,부산남구,부산북구,부산해운대,부산사하,부산금정,부산강서,부산연제,부산수영,부산사상,부산기장군,대구,대구중구,대구동구,대구서구,대구남구,대구북구,대구수성,대구달서,대구달성군,인천,인천중구,인천동구,인천서구,인천미추홀,인천연수,인천남동,인천부평,인천계양,인천강화군,인천옹진군,광주,광주동구,광주서구,광주남구,광주북구,광주광산,대전,대전중구,대전동구,대전서구,대전유성,대전대덕,울산,울산중구,울산동구,울산남구,울산북구,울산울주군,부천,수원,성남,전주,안양,청주,창원,광명,포항,안산,진주,고양,제주,목포,의정부,익산,군산,구미,천안,여수,춘천,원주,평택,경주,김해,순천,군포,남양주,강릉,충주,안동,경산,아산,거제,김천,정읍,용인,시흥,파주,양산,이천,구리,서산,제천,논산,기타 도시,도시이외
절도,41228,1648,1839,1385,1074,2178,1554,1536,1347,1014,634,1540,1388,1229,2097,1591,1887,1732,988,2311,1230,2134,1821,3144,2279,1648,15843,1021,672,676,411,2469,1108,1053,904,1539,1082,919,520,876,791,1275,527,8333,1109,1262,704,650,1232,934,2033,409,9233,558,186,1201,1639,840,1583,2282,824,102,18,4845,633,1152,572,1551,937,6241,1150,1305,1940,1077,769,3584,690,601,1234,391,668,4082,5509,3136,1954,1823,3221,3568,1054,2021,2906,1643,2493,2366,968,1606,919,1040,1568,2868,844,1068,1409,2074,982,2266,820,764,1361,674,784,481,1053,1431,979,368,280,2322,1294,1028,824,622,800,669,483,451,14899,9273
살인,145,6,0,1,1,6,11,5,7,8,2,4,6,4,3,3,11,8,5,15,3,8,10,7,6,5,63,1,2,4,1,9,3,8,4,5,9,1,2,1,5,7,1,48,4,6,4,1,6,8,12,7,36,2,0,4,5,2,6,6,7,4,0,11,3,0,1,4,3,22,5,7,3,5,2,17,6,2,2,4,3,3,16,20,8,4,16,15,1,2,20,9,9,19,8,6,6,6,9,17,4,6,5,9,5,8,6,2,10,4,6,4,0,7,7,4,0,10,6,6,5,8,4,2,6,3,87,98
강도,168,10,9,5,3,13,3,3,8,7,3,9,4,1,8,3,4,8,4,5,6,8,13,20,1,10,102,7,3,4,3,13,7,11,8,7,6,4,1,6,7,13,2,39,4,6,4,7,3,6,9,0,73,5,3,10,23,2,15,8,7,0,0,33,5,7,4,5,12,42,19,4,12,2,5,25,4,3,14,0,4,13,26,14,11,13,13,21,1,17,17,4,14,33,5,15,7,5,8,15,5,5,7,9,11,8,4,4,7,6,6,1,4,8,4,3,0,13,8,6,7,2,4,0,4,3,76,41
성폭력,10014,351,396,415,209,426,230,219,258,272,142,252,300,251,785,239,414,509,313,654,524,534,662,1031,396,232,2235,88,58,87,64,428,153,156,113,250,171,134,39,148,125,165,56,1166,157,125,82,75,212,162,295,58,2456,127,35,309,367,186,468,729,193,30,12,872,99,232,80,246,215,930,176,156,341,165,92,509,69,80,217,71,72,637,891,632,328,444,491,450,138,247,568,167,481,369,145,285,93,110,204,362,129,132,170,293,108,227,138,139,252,117,119,75,110,122,131,49,43,349,281,210,129,137,142,79,56,60,2247,1556
폭행,37597,1325,1361,1548,997,1366,1524,1833,1173,1527,802,1531,1397,941,1706,1387,1840,1806,1086,1980,1101,2177,1587,2315,1813,1474,10595,451,306,470,370,1847,774,664,740,1113,900,515,195,651,572,668,359,7081,494,902,760,743,1127,903,1691,461,12008,619,289,1755,2062,845,2109,2839,1267,180,43,5040,624,1536,487,1326,1067,5398,1383,962,1709,794,550,3986,737,584,1668,374,623,2945,4659,3066,1748,2274,2613,2803,1196,1340,3062,827,3015,2043,1114,2177,942,898,855,2140,1155,775,1680,2207,499,1638,885,803,1757,854,376,466,908,926,670,296,282,2167,1663,1004,627,860,925,395,330,293,13346,6289
